"INÍCIO DA OPERAÇÃO","INÍCIO DO INTERVALO","FIM DO INTERVALO","FIM DA OPERAÇÃO","DURAÇÃO","data_operacao"
2026-06-02 11:09:00.000,,,2026-06-02 12:15:00.000,"01:06:00","2026-06-02"
2026-06-05 12:15:00.000,,,2026-06-05 19:40:00.000,"07:25:00","2026-06-05"
2026-06-09 10:11:00.000,,,2026-06-09 16:34:00.000,"06:23:00","2026-06-09"
2026-06-11 17:42:00.000,,,2026-06-12 02:20:00.000,"08:38:00","2026-06-11"
2026-06-12 20:33:00.000,,,2026-06-13 01:14:00.000,"04:41:00","2026-06-12"
2026-07-02 08:05:00.000,2026-07-02 08:05:00.000,,2026-07-02 13:43:10.052,"05:38:10","2026-07-02"
2026-07-06 11:25:00.000,2026-07-06 11:25:00.000,,2026-07-31 14:37:00.000,"03:12:00","2026-07-06"
2026-07-31 14:37:00.000,,,,,"2026-07-31"
